"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.530911417E0,-7.887511700E-2,1.125317812E-1,-1.618942916E-1
5.550951418E0,-1.064158008E-1,-7.545882463E-2,-1.202881858E-1
5.570994833E0,-1.346191317E-1,-1.752532125E-1,-7.338573784E-2
5.591034833E0,-1.604265720E-1,-1.872434169E-1,8.350216784E-3
5.611074834E0,-1.637832671E-1,-1.633832753E-1,1.135269254E-1
5.631114834E0,-1.660614610E-1,-9.554357827E-2,2.172902673E-1
5.651154834E0,-1.364143938E-1,3.103813902E-2,2.224701792E-1
5.671194834E0,-1.140940487E-1,-1.411357075E-1,3.299811482E-2
5.691235834E0,-1.353424788E-1,-1.901514977E-1,-1.443357915E-1
5.711275834E0,-1.747192591E-1,-3.288566768E-1,-1.941553652E-1
5.731315834E0,-2.070811838E-1,-4.890398979E-1,-2.081276625E-1
5.751355833E0,-1.913220733E-1,-3.078734279E-1,-2.340497524E-1
5.771395834E0,-2.463601530E-1,-3.309210241E-1,-2.518633306E-1
5.791435834E0,-2.850858867E-1,-3.514113426E-1,-2.924327850E-1
5.811475834E0,-2.865833938E-1,-2.642932534E-1,-2.544611394E-1
5.831515834E0,-3.513546586E-1,-2.884377241E-1,4.053109884E-2
5.851555834E0,-5.772439241E-1,-8.332043886E-3,5.401014686E-1
5.871595833E0,-5.972654819E-1,5.854975805E-2,9.000394344E-1
5.891635833E0,-3.429141939E-1,1.677295715E-1,7.235479951E-1
5.911675834E0,-9.206312895E-2,5.740949512E-1,5.092960000E-1
5.931715834E0,7.807877660E-2,5.854208469E-1,2.906875312E-1
5.951755834E0,1.986503750E-1,6.016444564E-1,2.615996003E-1
5.971795834E0,3.116893172E-1,3.670352697E-1,2.897360623E-1
5.991835834E0,4.498293996E-1,5.102232695E-1,3.379325569E-1
6.011875833E0,5.026025176E-1,3.911882937E-1,3.664341867E-1
6.031915834E0,5.250326991E-1,3.732617795E-1,3.870036304E-1
6.051955834E0,5.280898809E-1,3.178642988E-1,3.450767100E-1
6.071996834E0,4.918722212E-1,2.605183721E-1,2.665731311E-1
6.092036834E0,4.096968174E-1,2.103521526E-1,1.898238808E-1
6.112076834E0,3.217537701E-1,4.256613180E-2,-1.277933866E-1
6.132116834E0,2.447565347E-1,-1.285052449E-1,-4.086226225E-1
6.152156834E0,7.590013742E-2,-6.151102483E-3,4.659948125E-2
6.172196833E0,-8.835005760E-2,-4.476507008E-2,3.919210136E-1
6.192236834E0,-2.050098181E-1,9.421731345E-3,4.846769571E-1
6.212276834E0,-2.285189480E-1,8.218730986E-2,6.216706038E-1
6.232316834E0,-3.544379175E-1,-7.303516567E-2,7.455900311E-1
6.252356834E0,-3.623188436E-1,-1.429679394E-1,7.848947048E-1
6.272396834E0,-3.254681826E-1,-1.758072972E-1,7.220381498E-1
6.292436833E0,-3.066966534E-1,-3.693048954E-1,6.117871404E-1
6.312476833E0,-2.100038826E-1,-5.203060508E-1,3.790301681E-1
6.332516834E0,-7.435927540E-2,-7.845405340E-1,9.357334673E-2
6.352556834E0,-2.287495648E-3,-1.042034507E0,-9.889017791E-2
6.372596834E0,7.960537821E-2,-9.935477972E-1,-3.575651050E-1
6.392636834E0,3.704207540E-1,-7.958338261E-1,-7.240067720E-1
6.412676834E0,6.171755195E-1,-6.109131575E-1,-1.155851483E0
6.432716833E0,7.425760031E-1,-3.694867790E-1,-1.458843231E0
6.452756834E0,8.358963728E-1,-2.418421358E-1,-1.486623645E0
6.472797833E0,8.885206580E-1,-3.644713759E-2,-1.346197844E0
6.492837834E0,9.299157858E-1,3.424325585E-1,-1.117367983E0
6.512877834E0,8.515807390E-1,5.294002891E-1,-8.697301149E-1
6.532917834E0,7.274220586E-1,6.102036238E-1,-5.942496061E-1
6.552957834E0,5.619746447E-1,5.490319729E-1,-3.740646839E-1
6.572997293E0,4.482912421E-1,4.405973256E-1,-2.247173786E-1
6.593037292E0,3.690292835E-1,3.496302664E-1,-1.662797183E-1
6.613077292E0,3.050658405E-1,1.961745620E-1,-1.759523600E-1
6.633117292E0,2.720887065E-1,8.601696789E-2,-2.082003504E-1
6.653157292E0,2.294729054E-1,-2.359282784E-2,-2.212008685E-1
6.673197292E0,1.752710789E-1,-1.123521701E-1,-2.091576904E-1
6.693237292E0,1.633564085E-1,-3.134128749E-1,-1.242735460E-1
6.713277292E0,1.776664108E-1,-2.707532644E-1,-8.685405552E-2
6.733317292E0,1.628753543E-1,-4.737782180E-1,-7.951132208E-2
6.753357292E0,1.426294893E-1,-6.374214292E-1,-2.523932233E-2
6.773397292E0,7.838456333E-2,-8.567510843E-1,6.091259792E-2
6.793437292E0,-8.774801157E-3,-1.036700487E0,1.512260139E-1
6.813478292E0,-9.938910604E-2,-1.148115516E0,2.571884692E-1
6.833518292E0,-1.466017514E-1,-1.055705309E0,3.590745628E-1
6.853558292E0,-2.614000738E-1,-1.053784251E0,4.802035987E-1
6.873598292E0,-4.608546495E-1,-7.603953481E-1,8.964091539E-1
6.893638292E0,-7.682778835E-1,-4.312382936E-1,1.317461729E0
6.913678292E0,-8.295029402E-1,-1.162045896E-1,1.373269081E0
6.933718292E0,-5.392473936E-1,2.025586814E-1,9.816691875E-1
6.953758292E0,-5.600206256E-1,6.318728924E-1,7.171591520E-1
6.973798292E0,-4.682558775E-1,6.931837797E-1,5.427220464E-1
6.993838293E0,-3.078292608E-1,7.575969100E-1,4.397044480E-1
7.013878292E0,4.846637137E-3,5.153421760E-1,2.912071049E-1
7.033918292E0,1.561955959E-1,6.899961233E-1,2.805377841E-1
7.053958292E0,1.419163793E-1,1.113797069E0,3.593760729E-1
7.073998292E0,2.065930665E-1,1.216399312E0,6.632307172E-1
7.094038292E0,2.881183922E-1,1.127479911E0,1.009118080E0
7.114078292E0,2.248809040E-1,1.065903783E0,1.054278135E0
7.134118292E0,1.200648397E-1,9.256274700E-1,1.008450508E0
7.154158292E0,-1.287323702E-2,7.192585468E-1,9.087821841E-1
7.174198292E0,-1.247532964E-1,4.608213603E-1,7.868723869E-1
7.194239292E0,-2.537421882E-1,3.182062507E-1,6.631936431E-1
7.214279292E0,-3.547341228E-1,3.989249468E-1,5.330011249E-1
7.234319292E0,-4.472505748E-1,3.218296170E-1,4.112931788E-1
7.254359292E0,-5.863341093E-1,2.931249514E-2,2.889302671E-1
7.274399292E0,-6.354855895E-1,-1.096637920E-1,2.148006707E-1
7.294439293E0,-6.637213826E-1,-2.633464932E-1,1.291414052E-1
7.314479292E0,-6.497776508E-1,-4.161158204E-1,7.898864336E-3
7.334519292E0,-6.168765426E-1,-6.334493756E-1,-1.299068630E-1
7.354559292E0,-5.478047729E-1,-7.251105905E-1,-2.930134833E-1
7.374599292E0,-4.308218658E-1,-8.072777987E-1,-4.668187797E-1
7.394639292E0,-2.208951116E-1,-1.012071013E0,-6.543257236E-1
7.414679292E0,1.930852607E-2,-1.203877926E0,-9.158384800E-1
7.434719292E0,2.399043739E-1,-1.374203801E0,-1.304662943E0
7.454759292E0,3.777002394E-1,-1.225787640E0,-1.402521849E0
7.474799292E0,6.059299111E-1,-1.197919250E0,-1.587040305E0
7.494839292E0,8.192456961E-1,-9.207594991E-1,-1.805732846E0
7.514879292E0,1.026381254E0,-8.517471552E-1,-1.764831424E0
7.534919292E0,1.050829053E0,-4.958655834E-1,-1.522324800E0
7.554960292E0,9.793573618E-1,-2.484454513E-1,-1.194081545E0
7.574996709E0,8.750470877E-1,7.657393813E-2,-7.954908609E-1
7.595036709E0,7.230765820E-1,3.511978090E-1,-4.246847332E-1
7.615076709E0,5.648280382E-1,5.100098848E-1,-9.123224765E-2
7.635116708E0,3.768884838E-1,6.609002352E-1,2.218490392E-1
7.655156708E0,2.175237238E-1,7.074047923E-1,4.029909372E-1
7.675196709E0,1.015351191E-1,7.393015623E-1,5.035074949E-1
7.695236709E0,-7.040245831E-2,7.490646839E-1,4.799064994E-1
