"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.261975916E0,-1.168782949E0,2.106976882E-2,7.882368565E-1
5.282014917E0,-2.453452051E-1,-4.925635457E-1,5.207685232E-1
5.302053916E0,5.391926169E-1,-6.200531721E-1,1.191101745E-1
5.322092917E0,7.893675566E-1,-2.704677582E-1,-3.651968762E-2
5.342131916E0,7.159464955E-1,-1.145544425E-1,-6.941199303E-2
5.362170917E0,6.584093571E-1,-2.496413589E-1,-1.275936067E-1
5.382209917E0,-1.239923909E-1,1.186229587E0,-3.098423220E-2
5.402248916E0,-9.712542295E-1,6.860648990E-1,1.011891291E-1
5.422287917E0,-1.177214861E0,-7.352888584E-1,-3.153914958E-2
5.442326916E0,-7.340739965E-1,-1.001215935E0,-5.438112468E-2
5.462365917E0,-1.658670455E-1,-7.014371157E-1,-1.496535242E-1
5.482404917E0,-9.332848340E-2,-3.150250018E-1,-1.559271216E-1
5.502443916E0,-1.354976743E-1,-2.065039724E-1,-1.078692302E-1
5.522482917E0,-3.595351279E-1,-6.938481331E-1,-1.843704283E-2
5.542521916E0,-6.588602066E-1,-9.634446353E-2,1.977753937E-1
5.562560917E0,-7.213915586E-1,9.703339636E-2,2.071203291E-1
5.582599916E0,-3.803376853E-1,-9.480573982E-2,9.906034172E-2
5.602638916E0,-1.553059816E-1,-1.899687648E-1,1.512741148E-1
5.622677917E0,-5.049331188E-1,5.696257204E-2,4.987802207E-1
5.642716916E0,-7.114000320E-1,-7.969883084E-2,6.943768859E-1
5.662755917E0,-3.398306668E-1,-6.039739847E-1,4.244582653E-1
5.682794916E0,7.259236649E-3,-1.170360684E0,4.296679422E-2
5.702833917E0,8.209758997E-2,-1.604463577E0,-9.709452093E-2
5.722872917E0,-1.522646099E-1,-9.848005772E-1,-2.140059136E-2
5.742911916E0,-4.359651804E-1,2.772862315E-1,-1.858234555E-1
5.762950917E0,-1.871963888E-1,6.265602708E-1,-4.622120559E-1
5.782989916E0,4.683820605E-1,6.646649837E-1,-5.073744655E-1
5.803028917E0,9.420420527E-1,6.146281958E-1,-3.039042652E-1
5.823067917E0,1.034689546E0,3.426019549E-1,-7.404592633E-2
5.843104334E0,1.112578511E0,2.011739910E-1,5.143795907E-2
5.863143333E0,1.409573674E0,3.494319618E-1,3.048552014E-2
5.883182333E0,1.645365238E0,5.966402292E-1,3.959611058E-2
5.903221333E0,1.557111144E0,3.078747094E-1,-1.203410551E-1
5.923260333E0,1.311064601E0,1.231871992E-1,-3.650251627E-1
5.943299334E0,1.064273715E0,1.743637621E-1,-5.088701248E-1
5.963338333E0,8.302836418E-1,1.836845130E-1,-5.340500474E-1
5.983377333E0,6.395101547E-1,1.103743836E-1,-3.997972310E-1
6.003416333E0,5.223139524E-1,1.387405768E-2,-1.790377647E-1
6.023455333E0,5.829948187E-1,-1.745877117E-1,-7.766137272E-2
6.043494334E0,5.943344831E-1,-2.560521364E-1,-5.858577788E-2
6.063533333E0,4.828948081E-1,-2.904904485E-1,-9.097312391E-2
6.083572333E0,3.388108015E-1,-3.424714208E-1,-2.850080431E-1
6.103611333E0,8.474629372E-2,-5.762844086E-1,-4.708937109E-1
6.123650333E0,-1.909532994E-1,-6.024253964E-1,-3.623790741E-1
6.143689333E0,-5.581412315E-1,-6.157512069E-1,-2.595137060E-2
6.163728333E0,-9.384914041E-1,-4.565080404E-1,1.600688547E-1
6.183767334E0,-1.143040061E0,1.861211210E-1,2.118789554E-1
6.203806333E0,-1.358594894E0,5.071975589E-1,2.422450036E-1
6.223845333E0,-1.620878100E0,4.638798535E-1,3.406024575E-1
6.243884333E0,-1.875648379E0,1.513419300E-1,5.787791014E-1
6.263923333E0,-1.890316963E0,-1.388219893E-1,8.354465365E-1
6.283962334E0,-1.475717902E0,-5.538914204E-1,1.014743686E0
6.304001333E0,-6.414752007E-1,-1.124891639E0,8.381795883E-1
6.324040333E0,2.991993725E-1,-1.352015495E0,2.439353764E-1
6.344079333E0,7.738014460E-1,-8.360385299E-1,-1.971979737E-1
6.364118333E0,7.772756219E-1,-1.701155752E-1,-3.077410161E-1
6.384157334E0,6.085388064E-1,1.133551374E-1,-3.085574210E-1
6.404196333E0,5.375946164E-1,7.895215601E-2,-2.915983498E-1
