"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.492746629E2,3.211800530E1,1.189527091E2,1.987629208E1,1.144661677E0,9.264868410E0,4.744687268E0,4.744687268E0
1.502746673E2,3.211801353E1,1.189527152E2,1.983137156E1,1.017173198E0,1.387416706E1,4.751425915E0,4.751425915E0
1.512746714E2,3.211801863E1,1.189527270E2,2.015377896E1,1.069210744E0,1.919836912E1,4.756362160E0,4.756362160E0
1.522746754E2,3.211802894E1,1.189527364E2,2.011609522E1,1.190965392E0,2.740735811E1,4.752377236E0,4.752377236E0
1.532746794E2,3.211803357E1,1.189527559E2,1.960170927E1,1.212421587E0,3.985461279E1,4.740004248E0,4.740004248E0
1.542746835E2,3.211803741E1,1.189527768E2,1.909419351E1,1.311346488E0,4.614848782E1,4.731458948E0,4.731458948E0
1.552746879E2,3.211803970E1,1.189527940E2,1.939767296E1,1.341909263E0,4.864597260E1,4.730682500E0,4.730682500E0
1.562746919E2,3.211804323E1,1.189528069E2,1.917299486E1,1.287571501E0,4.820045242E1,4.726620133E0,4.726620133E0
1.572746968E2,3.211804468E1,1.189528156E2,1.876230747E1,1.052762542E0,4.255277450E1,4.730941205E0,4.730941205E0
1.582747009E2,3.211805279E1,1.189528356E2,1.860995218E1,1.373113074E0,4.366489580E1,4.727070348E0,4.727070348E0
1.592747041E2,3.211805878E1,1.189528527E2,1.934377978E1,1.542506512E0,4.523856421E1,4.722695527E0,4.722695527E0
1.602747096E2,3.211806402E1,1.189528668E2,2.041372195E1,1.493132539E0,4.641627619E1,4.722963708E0,4.722963708E0
1.612747139E2,3.211807239E1,1.189528754E2,2.058257640E1,1.458135544E0,3.837849067E1,4.719621754E0,4.719621754E0
1.622747184E2,3.211808156E1,1.189528850E2,2.080689960E1,1.498964747E0,3.340745383E1,4.722192775E0,4.722192775E0
1.632747225E2,3.211809186E1,1.189528951E2,2.106613664E1,1.504331971E0,3.175537456E1,4.714102843E0,4.714102843E0
